2023-02-13 09:14:47.441 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-02-13 09:14:47.444 [main] INFO  xyz.jxzou.zblog.SystemApplication - Starting SystemApplication using Java 1.8.0_321 on DESKTOP-C8JVGSQ with PID 3000 (E:\Projects\Java\JavaEE\Issue\zblog\zblog-system\target\classes started by Jx in E:\Projects\Java\JavaEE\Issue\zblog)
2023-02-13 09:14:47.445 [main] INFO  xyz.jxzou.zblog.SystemApplication - The following 1 profile is active: "dev"
2023-02-13 09:14:49.055 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 7000 (http)
2023-02-13 09:14:49.069 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7000"]
2023-02-13 09:14:49.072 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-02-13 09:14:49.073 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-02-13 09:14:49.302 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2023-02-13 09:14:49.302 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1799 ms
2023-02-13 09:14:52.532 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@18b8d173, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@73844119, org.springframework.security.web.context.SecurityContextPersistenceFilter@27d33393, org.springframework.security.web.header.HeaderWriterFilter@443effcb, org.springframework.security.web.csrf.CsrfFilter@6342d610, org.springframework.security.web.authentication.logout.LogoutFilter@20ab3e3a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@38eb0f4d, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@4b97c4ad, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@44f24a20, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@41eb94bc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5e7c141d, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@6573d2f7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1859e2a4, org.springframework.security.web.session.SessionManagementFilter@53b7ce6, org.springframework.security.web.access.ExceptionTranslationFilter@4ce94d2f, org.springframework.security.web.access.intercept.AuthorizationFilter@1716e8c5]
2023-02-13 09:14:52.821 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7000"]
2023-02-13 09:14:52.844 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 7000 (http) with context path '/api'
2023-02-13 09:14:52.857 [main] INFO  xyz.jxzou.zblog.SystemApplication - Started SystemApplication in 6.275 seconds (JVM running for 9.063)
2023-02-13 09:17:24.478 [http-nio-7000-exec-5] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-02-13 09:17:24.479 [http-nio-7000-exec-5] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-02-13 09:17:24.480 [http-nio-7000-exec-5] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
